Player,Zone,Year,Run
Jeff McNeil,Waste,2018,3.3
Jeff McNeil,Waste,2020,4.5
Jeff McNeil,Waste,2022,8.2
Jeff McNeil,Waste,2019,11.2
Jeff McNeil,Waste,2021,11.2
Jeff McNeil,Chase,2021,14.1
Jeff McNeil,Chase,2022,14
Jeff McNeil,Chase,2019,12
Jeff McNeil,Chase,2018,6.2
Jeff McNeil,Chase,2020,5.8
Jeff McNeil,Shadow,2022,4.4
Jeff McNeil,Shadow,2018,-4.2
Jeff McNeil,Shadow,2020,-6.7
Jeff McNeil,Shadow,2019,-7.7
Jeff McNeil,Shadow,2021,-24.9
Jeff McNeil,Heart,2019,13.2
Jeff McNeil,Heart,2018,3.9
Jeff McNeil,Heart,2020,3
Jeff McNeil,Heart,2022,-7.1
Jeff McNeil,Heart,2021,-13.4