year,last_name, first_name,player_id,team_id,pa,pitches,runs_all,runs_heart,runs_shadow,runs_chase,runs_waste
2022,Taylor, Michael A.,572191,118,456,1717,-7,-11,-14,10,9
2022,Witt Jr., Bobby,677951,118,621,2304,-5,-9,-16,10,10
2022,Melendez, MJ,669004,118,525,2161,1,-7,-16,15,8
2022,Lopez, Nicky,670032,118,477,1753,-28,-16,-29,10,6
2022,Pasquantino, Vinnie,686469,118,289,1020,12,2,-5,8,7
2022,Isbel, Kyle,664728,118,271,1042,-17,-9,-16,5,3
2022,Perez, Salvador,521692,118,471,1700,14,10,-9,5,8
2022,Dozier, Hunter,641531,118,500,1938,-9,4,-27,6,8
2022,Turner, Justin,457759,119,524,2114,25,3,-10,21,11
2022,Freeman, Freddie,518692,119,688,2733,55,-1,22,21,14
2022,Thompson, Trayce,572204,119,252,1131,11,2,-7,11,5
2022,Lux, Gavin,666158,119,463,1821,3,-6,-14,15,8
2022,Muncy, Max,571970,119,557,2407,11,-18,-9,24,13
2022,Smith, Will,669257,119,570,2352,25,-4,-5,22,12
2022,Bellinger, Cody,641355,119,543,2270,-11,-21,-8,10,8
2022,Gallo, Joey,608336,119,404,1696,-10,-5,-29,14,9
2022,Betts, Mookie,605141,119,634,2409,38,5,-2,23,12
2022,Turner, Trea,607208,119,700,2696,23,-6,1,16,12
2022,Taylor, Chris,621035,119,452,1980,-9,-12,-16,13,7
2022,Profar, Jurickson,595777,135,649,2757,-3,-8,-26,21,11
2022,Myers, Wil,571976,135,277,1123,-1,-3,-11,9,4
2022,Cronenworth, Jake,630105,135,678,2650,15,-13,-10,25,13
2022,Nola, Austin,543592,135,393,1506,-7,-25,-1,12,7
2022,Machado, Manny,592518,135,627,2357,41,16,3,15,7
2022,Soto, Juan,665742,135,655,2749,30,-8,-12,33,16
2022,Drury, Brandon,592273,135,561,2213,27,1,1,15,10
2022,Grisham, Trent,663757,135,516,2183,-14,-18,-22,19,8
2022,Bell, Josh,605137,135,639,2489,15,-8,-10,21,13
2022,Kim, Ha-Seong,673490,135,577,2347,4,-15,-6,16,9
2022,Davis, J.D.,605204,137,356,1453,7,8,-20,11,7
2022,González, Luis,670768,137,349,1472,-2,-9,-5,7,6
2022,Yastrzemski, Mike,573262,137,549,2318,-4,-11,-17,17,8
2022,Crawford, Brandon,543063,137,450,1709,-6,-13,-13,10,10
2022,Longoria, Evan,446334,137,296,1187,9,-1,-3,9,4
2022,Slater, Austin,596103,137,317,1293,7,1,-9,8,8
2022,Bart, Joey,663698,137,285,1136,-6,-5,-11,6,4
2022,Estrada, Thairo,642731,137,537,1935,3,-4,-13,9,10
2022,Flores, Wilmer,527038,137,592,2393,15,-8,-5,17,10
2022,Belt, Brandon,474832,137,296,1194,-7,-11,-15,11,7
2022,Pederson, Joc,592626,137,428,1680,34,2,9,15,8
2022,Mejía, Francisco,642336,139,299,1094,-7,-8,-4,3,2
2022,Ramírez, Harold,623912,139,431,1566,11,-2,1,5,8
2022,Walls, Taylor,670764,139,460,1858,-20,-20,-22,15,7
2022,Siri, Jose,642350,139,322,1256,-14,-14,-8,4,4
2022,Peralta, David,444482,139,481,1810,-6,-14,-4,6,4
2022,Arozarena, Randy,668227,139,640,2513,10,-5,0,5,10
2022,Choi, Ji-Man,596847,139,409,1806,3,-4,-16,14,8
2022,Paredes, Isaac,670623,139,375,1587,-1,-5,-19,17,5
2022,Franco, Wander,677551,139,341,1205,0,-3,-8,7,4
2022,Margot, Manuel,622534,139,357,1367,-1,-3,-7,4,5
2022,Bethancourt, Christian,542194,139,331,1099,-5,-3,-5,0,3
2022,Díaz, Yandy,650490,139,554,2151,22,-4,-4,20,10
2022,Walsh, Jared,665120,108,450,1746,-16,-3,-28,8,6
2022,Ohtani, Shohei,660271,108,643,2515,27,20,-16,15,8
2022,Adell, Jo,666176,108,279,1154,-13,-7,-13,3,5
2022,Stassi, Max,545358,108,369,1413,-17,-8,-23,10,5
2022,Trout, Mike,545361,108,483,2071,41,9,6,16,10
2022,Velazquez, Andrew,623205,108,349,1320,-15,-6,-17,4,4
2022,Rengifo, Luis,650859,108,502,1780,-9,-4,-15,5,5
2022,Ward, Taylor,621493,108,555,2262,27,-3,-4,24,10
2022,Rivera, Emmanuel,656896,109,359,1324,0,1,-12,7,4
2022,Marte, Ketel,606466,109,555,2158,-3,-21,-5,14,9
2022,Rojas, Josh,668942,109,500,2000,6,-7,-13,16,9
2022,Thomas, Alek,677950,109,411,1483,-13,-7,-17,5,7
2022,Walker, Christian,572233,109,657,2518,17,4,-22,23,13
2022,Smith, Pavin,656976,109,271,1093,0,5,-19,10,4
2022,Kelly, Carson,608348,109,346,1385,-12,-20,-10,9,9
2022,Varsho, Daulton,662139,109,585,2294,7,1,-14,10,10
2022,McCarthy, Jake,664983,109,346,1230,19,10,-7,11,5
2022,Perdomo, Geraldo,672695,109,493,2031,-16,-24,-17,16,10
2022,Grossman, Robbie,543257,144,468,1903,-5,-10,-17,15,7
2022,Riley, Austin,663586,144,687,2617,27,22,-17,10,12
2022,Ozuna, Marcell,542303,144,502,1999,-18,-6,-23,5,7
2022,Duvall, Adam,594807,144,315,1220,-3,-8,-4,4,5
2022,Contreras, William,661388,144,365,1502,10,9,-12,7,5
2022,Albies, Ozzie,645277,144,269,1027,0,-1,-8,4,5
2022,Acuña Jr., Ronald,660670,144,525,2146,13,-10,-2,16,9
2022,d'Arnaud, Travis,518595,144,421,1623,17,2,-5,11,7
2022,Swanson, Dansby,621020,144,690,2729,21,3,-12,19,10
2022,Harris II, Michael,671739,144,437,1644,23,7,7,4,5
2022,Olson, Matt,621566,144,683,2861,17,-1,-14,18,15
2022,Rutschman, Adley,668939,110,466,1985,11,1,-18,18,10
2022,Hays, Austin,669720,110,577,2038,-2,2,-18,7,8
2022,Mountcastle, Ryan,663624,110,604,2330,0,-1,-16,9,9
2022,Odor, Rougned,596059,110,467,1742,-9,2,-27,9,7
2022,Aguilar, Jesús,542583,110,502,2060,-5,-10,-8,7,7
2022,Santander, Anthony,623993,110,638,2577,12,-3,-12,13,14
2022,Mullins, Cedric,656775,110,666,2445,-2,-16,-13,17,11
2022,Mateo, Jorge,622761,110,526,1954,-16,1,-22,-2,8
2022,Urías, Ramón,602104,110,444,1645,3,1,-17,13,6
2022,Bogaerts, Xander,593428,111,623,2468,24,6,-13,20,10
2022,Cordero, Franchy,614173,111,274,1091,2,-4,-3,5,4
2022,Arroyo, Christian,624414,111,292,1013,-2,1,-13,5,4
2022,Dalbec, Bobby,666915,111,352,1473,-10,-1,-22,7,5
2022,Pham, Tommy,502054,111,619,2492,-1,-15,-16,20,11
2022,Martinez, J.D.,502110,111,588,2365,-3,-6,-18,10,10
2022,Devers, Rafael,646240,111,597,2212,34,1,1,20,12
2022,Hosmer, Eric,543333,111,409,1599,2,-11,-1,7,7
2022,Hernández, Enrique,571771,111,395,1465,-6,-2,-16,5,7
2022,Story, Trevor,596115,111,392,1575,7,1,-7,7,6
2022,Verdugo, Alex,657077,111,635,2452,12,9,-15,11,8
2022,Morel, Christopher,666624,112,411,1598,4,-5,-8,9,8
2022,Suzuki, Seiya,673548,112,430,1819,6,-5,-14,17,9
2022,Reyes, Franmil,614177,112,464,1823,-16,-10,-22,8,7
2022,Rivas, Alfonso,663845,112,280,1180,0,-7,-6,7,5
2022,Ortega, Rafael,542364,112,367,1510,-8,-14,-18,16,8
2022,Contreras, Willson,575929,112,478,1789,9,-2,-8,9,10
2022,Schwindel, Frank,643524,112,290,1135,-9,-12,-6,6,3
2022,Happ, Ian,664023,112,627,2530,4,-7,-17,21,7
2022,Wisdom, Patrick,621550,112,515,2165,-2,1,-26,14,10
2022,Hoerner, Nico,663538,112,499,1781,4,3,-15,10,6
2022,Farmer, Kyle,571657,113,572,2094,5,2,-5,0,9
2022,Votto, Joey,458015,113,372,1484,6,-4,-11,14,7
2022,Senzel, Nick,669222,113,416,1460,-6,-9,-12,10,6
2022,Solano, Donovan,456781,113,292,1140,1,5,-13,4,5
2022,India, Jonathan,663697,113,425,1714,10,-7,-5,15,6
2022,Moustakas, Mike,519058,113,285,1150,-7,-10,-6,4,6
2022,Reynolds, Matt,608703,113,265,1053,-3,1,-12,3,5
2022,Aquino, Aristides,606157,113,273,1080,-9,-3,-11,2,3
2022,Hedges, Austin,595978,114,335,1259,-23,-11,-25,8,6
2022,Gonzalez, Oscar,660757,114,371,1384,1,12,-17,3,3
2022,Kwan, Steven,680757,114,627,2611,14,-11,-11,26,11
2022,Giménez, Andrés,665926,114,544,2012,25,8,-1,5,13
2022,Ramírez, José,608070,114,656,2706,30,7,-5,15,13
2022,Straw, Myles,664702,114,588,2332,-34,-40,-17,17,6
2022,Naylor, Josh,647304,114,489,1750,12,3,-11,9,10
2022,Rosario, Amed,642708,114,661,2374,8,-7,-6,11,9
2022,Miller, Owen,680911,114,467,1821,-11,-12,-15,6,10
2022,Grichuk, Randal,545341,115,529,1945,5,7,-13,2,8
2022,McMahon, Ryan,641857,115,593,2542,4,-13,-11,19,9
2022,Rodgers, Brendan,663898,115,573,2084,2,9,-28,12,9
2022,Cron, C.J.,543068,115,622,2481,15,14,-14,7,8
2022,Iglesias, José,578428,115,463,1721,2,-7,-7,12,4
2022,Díaz, Elias,553869,115,377,1432,-7,-7,-15,10,5
2022,Blackmon, Charlie,453568,115,573,2082,12,5,-14,11,9
2022,Joe, Connor,656582,115,467,1900,-5,-16,-10,13,8
2022,Daza, Yonathan,602074,115,408,1536,4,-1,-7,7,6
2022,Andrus, Elvis,462101,145,568,2221,0,-10,-11,14,7
2022,Anderson, Tim,641313,145,350,1145,1,5,-10,2,4
2022,Harrison, Josh,543281,145,421,1517,-10,-2,-19,6,5
2022,Robert, Luis,673357,145,400,1349,16,15,-8,3,6
2022,Grandal, Yasmani,518735,145,371,1561,-13,-26,-6,11,8
2022,Sheets, Gavin,657757,145,402,1670,2,-7,-7,9,7
2022,Pollock, AJ,572041,145,523,1824,-8,-6,-14,5,6
2022,Abreu, José,547989,145,672,2705,21,3,-17,19,16
2022,Jiménez, Eloy,650391,145,323,1160,17,8,-6,10,4
2022,Moncada, Yoán,660162,145,422,1689,-8,-8,-21,15,7
2022,Garcia, Leury,544725,145,314,1151,-23,-14,-16,3,4
2022,Vaughn, Andrew,683734,145,550,2069,17,6,-4,7,7
2022,Haase, Eric,606992,116,342,1342,3,11,-15,0,7
2022,Candelario, Jeimer,600869,116,453,1687,-8,-4,-22,12,7
2022,Barnhart, Tucker,571466,116,304,1159,-14,-11,-15,9,3
2022,Reyes, Victor,622682,116,327,1249,-5,-3,-11,3,6
2022,Torkelson, Spencer,679529,116,391,1553,-19,-13,-26,12,7
2022,Schoop, Jonathan,570731,116,500,1766,-32,-13,-26,2,5
2022,Báez, Javier,595879,116,581,2067,-3,-2,-2,0,1
2022,Cabrera, Miguel,408234,116,426,1620,-11,-6,-17,7,5
2022,Castro, Harold,605612,116,436,1643,1,-4,-6,7,5
2022,Greene, Riley,682985,116,409,1692,2,1,-16,9,8
2022,Castro, Willi,650489,116,392,1440,-14,-4,-18,5,3
2022,Gurriel, Yuli,493329,117,577,2088,-18,-10,-27,12,8
2022,Mancini, Trey,641820,117,579,2350,6,-21,1,16,10
2022,Bregman, Alex,608324,117,646,2495,28,-12,-5,29,16
2022,Altuve, Jose,514888,117,599,2297,36,-4,2,20,18
2022,Peña, Jeremy,665161,117,554,1988,-3,9,-26,7,7
2022,Alvarez, Yordan,670541,117,544,2173,39,9,0,18,12
2022,Díaz, Aledmys,649557,117,317,1152,1,-1,-7,6,3
2022,Tucker, Kyle,663656,117,601,2250,27,20,-23,19,10
2022,Vázquez, Christian,543877,117,423,1619,3,-7,-7,11,6
2022,McCormick, Chas,676801,117,400,1560,2,-4,-6,8,4
2022,Maldonado, Martín,455117,117,375,1483,-14,1,-23,3,5
2022,Rojas, Miguel,500743,146,506,1815,-10,-17,-11,10,7
2022,De La Cruz, Bryan,650559,146,346,1341,-4,-8,-11,8,7
2022,Sánchez, Jesús,660821,146,335,1359,-9,-5,-18,8,5
2022,Anderson, Brian,605119,146,377,1530,-4,-4,-14,9,6
2022,Cooper, Garrett,643265,146,469,1861,9,4,-15,9,10
2022,Soler, Jorge,624585,146,305,1275,-2,-7,-6,6,6
2022,García, Avisaíl,541645,146,376,1349,-17,0,-19,-1,4
2022,Berti, Jon,542932,146,395,1531,-9,-11,-15,12,5
2022,Stallings, Jacob,607732,146,380,1458,-15,-18,-14,11,6
2022,Wendle, Joey,621563,146,367,1266,-3,-8,-8,9,3
2022,Renfroe, Hunter,592669,158,517,2012,5,-3,-12,11,8
2022,Peterson, Jace,607054,158,320,1393,-4,-10,-10,10,5
2022,Tellez, Rowdy,642133,158,586,2378,8,-4,-9,12,9
2022,Taylor, Tyrone,621438,158,398,1493,2,-3,-8,5,7
2022,Narváez, Omar,553882,158,291,1169,-10,-14,-12,9,6
2022,Adames, Willy,642715,158,610,2453,16,9,-17,12,12
2022,Hiura, Keston,669374,158,258,1120,4,-3,-3,6,4
2022,Wong, Kolten,543939,158,493,2038,8,-14,-6,17,12
2022,McCutchen, Andrew,457705,158,579,2364,1,-12,-11,17,8
2022,Urías, Luis,649966,158,464,1939,0,-17,-7,15,9
2022,Caratini, Victor,605170,158,309,1232,-3,-9,-11,11,6
2022,Yelich, Christian,592885,158,658,2701,15,-3,-21,23,15
2022,Arraez, Luis,650333,142,594,2388,20,-1,-11,22,10
2022,Urshela, Gio,570482,142,542,1991,6,-4,-12,14,8
2022,Gordon, Nick,624503,142,433,1531,7,2,-6,2,8
2022,Miranda, Jose,669304,142,482,1809,9,5,-11,4,11
2022,Buxton, Byron,621439,142,382,1529,7,4,-12,6,9
2022,Celestino, Gilberto,665482,142,339,1361,-9,-15,-8,10,4
2022,Sánchez, Gary,596142,142,466,1860,-6,-10,-17,12,9
2022,Kepler, Max,596146,142,444,1655,-8,-22,-9,15,8
2022,Polanco, Jorge,593871,142,444,1900,9,-8,-10,19,8
2022,Correa, Carlos,621043,142,586,2414,22,5,-6,14,9
2022,Alonso, Pete,624413,121,662,2477,32,12,-6,14,11
2022,Lindor, Francisco,596019,121,693,2794,25,-6,-4,21,15
2022,Canha, Mark,592192,121,529,2178,26,-4,-5,20,14
2022,Nimmo, Brandon,607043,121,665,2747,33,-3,-8,30,14
2022,Naquin, Tyler,571980,121,322,1218,3,3,-6,4,2
2022,Guillorme, Luis,641645,121,326,1343,-7,-15,-4,7,5
2022,McNeil, Jeff,643446,121,579,2041,23,-5,5,14,8
2022,Escobar, Eduardo,500871,121,532,2057,-10,-11,-18,11,8
2022,Vogelbach, Daniel,596129,121,447,2037,13,-8,-2,17,7
2022,Marte, Starling,516782,121,505,1920,21,14,-14,11,10
2022,Nido, Tomás,621512,121,308,1054,-12,-6,-13,4,4
2022,Ruf, Darin,573131,121,388,1620,3,-2,-14,12,8
2022,LeMahieu, DJ,518934,147,530,2125,13,-4,-9,19,8
2022,Rizzo, Anthony,519203,147,534,2080,14,-3,-13,14,15
2022,Trevino, Jose,624431,147,345,1229,6,0,-4,7,3
2022,Judge, Aaron,592450,147,670,2883,82,51,-9,24,16
2022,Kiner-Falefa, Isiah,643396,147,523,1915,-2,-1,-17,9,7
2022,Hicks, Aaron,543305,147,439,1955,-3,-23,-17,25,12
2022,Benintendi, Andrew,643217,147,521,1924,9,-7,-11,19,7
2022,Stanton, Giancarlo,519317,147,445,1817,11,9,-14,9,7
2022,Torres, Gleyber,650402,147,569,2225,6,-7,-8,10,10
2022,Donaldson, Josh,518626,147,536,2150,3,-1,-19,10,13
2022,Bader, Harrison,664056,147,305,1152,-1,-4,-3,1,4
2022,Murphy, Sean,669221,133,601,2344,8,-7,-9,14,11
2022,Kemp, Tony,643393,133,549,2019,0,-7,-19,16,10
2022,Brown, Seth,664913,133,544,2170,8,9,-21,10,10
2022,Neuse, Sheldon,641914,133,293,1160,-4,-4,-9,7,2
2022,Pinder, Chad,640461,133,376,1421,-12,0,-22,7,4
2022,Allen, Nick,669397,133,319,1129,-15,-10,-14,5,4
2022,Laureano, Ramón,657656,133,383,1514,-6,-2,-17,5,7
2022,Realmuto, J.T.,592663,143,559,2186,16,-5,-3,14,10
2022,Vierling, Matt,663837,143,350,1382,-11,-15,-5,5,4
2022,Schwarber, Kyle,656941,143,664,2866,21,-9,-10,26,14
2022,Segura, Jean,516416,143,383,1388,-4,-8,-9,6,8
2022,Castellanos, Nick,592206,143,555,2049,-4,2,-17,3,8
2022,Marsh, Brandon,669016,143,454,1780,1,-5,-10,9,7
2022,Harper, Bryce,547180,143,413,1579,25,20,-8,4,8
2022,Stott, Bryson,681082,143,461,1853,-11,-13,-13,8,7
2022,Hoskins, Rhys,656555,143,668,2874,22,-4,-10,26,10
2022,Bohm, Alec,664761,143,625,2288,1,-11,-4,6,9
2022,Suwinski, Jack,669261,134,362,1533,-4,-7,-12,7,7
2022,Hayes, Ke'Bryan,663647,134,552,2185,-12,-13,-14,7,8
2022,Reynolds, Bryan,668804,134,602,2284,14,-5,-7,11,14
2022,Castillo, Diego,660636,134,278,1133,-6,-9,-6,5,4
2022,Chavis, Michael,656308,134,425,1524,-14,1,-18,1,3
2022,Gamel, Ben,592325,134,416,1692,6,-14,2,12,7
2022,Newman, Kevin,621028,134,304,1065,1,-2,-2,2,3
2022,Cruz, Oneil,665833,134,350,1415,11,3,-4,4,7
2022,Suárez, Eugenio,553993,136,619,2578,21,-4,-8,21,13
2022,Frazier, Adam,624428,136,593,2160,-17,-17,-24,14,10
2022,Santana, Carlos,467793,136,490,2013,4,-22,-4,18,11
2022,Winker, Jesse,608385,136,546,2229,7,-13,-12,21,11
2022,Moore, Dylan,664238,136,249,1117,-1,-10,-7,9,6
2022,Raleigh, Cal,663728,136,410,1612,1,3,-17,9,6
2022,Toro, Abraham,647351,136,338,1281,-16,-9,-16,4,4
2022,Crawford, J.P.,641487,136,594,2439,-5,-19,-17,20,12
2022,Rodríguez, Julio,677594,136,549,2065,32,9,0,12,11
2022,France, Ty,664034,136,599,2168,17,2,-8,11,12
2022,Donovan, Brendan,680977,138,462,1950,20,-5,-5,19,11
2022,Arenado, Nolan,571448,138,615,2322,34,21,-11,12,12
2022,Edman, Tommy,669242,138,624,2312,1,-9,-7,9,8
2022,Carlson, Dylan,666185,138,478,1934,-4,-16,-8,13,6
2022,Knizner, Andrew,668800,138,284,1074,-12,-2,-19,3,6
2022,O'Neill, Tyler,641933,138,383,1594,0,-8,-11,13,6
2022,Goldschmidt, Paul,502671,138,647,2690,64,10,12,26,16
2022,Dickerson, Corey,572816,138,290,1069,-1,-2,-8,6,3
2022,Pujols, Albert,405395,138,348,1375,18,4,-1,7,8
2022,Nootbaar, Lars,663457,138,338,1350,7,-5,-8,14,6
2022,Gorman, Nolan,669357,138,313,1317,3,10,-16,2,7
2022,Semien, Marcus,543760,140,711,2721,12,-8,-13,22,11
2022,Calhoun, Kole,594777,140,420,1682,-14,-8,-23,9,8
2022,García, Adolis,666969,140,644,2491,10,4,-13,10,9
2022,Seager, Corey,608369,140,652,2256,3,2,-25,16,10
2022,Heim, Jonah,641680,140,445,1747,-5,-11,-13,12,7
2022,Taveras, Leody,665750,140,330,1228,-7,-10,-8,8,3
2022,Lowe, Nathaniel,663993,140,634,2481,26,13,-9,11,10
2022,Merrifield, Whit,593160,141,543,2002,-6,-18,-6,11,7
2022,Biggio, Cavan,624415,141,294,1241,1,-8,-11,14,6
2022,Springer, George,543807,141,582,2174,24,15,-22,21,10
2022,Bichette, Bo,666182,141,695,2516,18,16,-12,8,7
2022,Gurriel Jr., Lourdes,666971,141,492,1852,7,4,-14,10,6
2022,Espinal, Santiago,669289,141,490,1911,-4,-7,-18,12,9
2022,Kirk, Alejandro,672386,141,537,2192,19,-6,-9,20,13
2022,Guerrero Jr., Vladimir,665489,141,695,2580,17,2,-10,13,12
2022,Chapman, Matt,656305,141,617,2625,7,-14,-17,26,13
2022,Tapia, Raimel,606132,141,425,1541,0,0,-8,4,4
2022,Hernández, Teoscar,606192,141,529,2061,17,22,-16,3,8
2022,Bradley Jr., Jackie,598265,141,362,1358,-10,-8,-16,10,5
2022,Franco, Maikel,596748,120,388,1418,-13,-9,-15,5,4
2022,García, Luis,671277,120,364,1281,-4,-1,-9,3,4
2022,Voit, Luke,572228,120,555,2202,2,2,-29,16,14
2022,Hernández, César,514917,120,605,2325,-12,-22,-12,13,10
2022,Thomas, Lane,657041,120,536,2134,-4,-14,-13,14,8
2022,Cruz, Nelson,443558,120,506,1992,-1,-7,-17,15,8
2022,Robles, Victor,645302,120,405,1405,-11,-13,-10,7,5
2022,Ruiz, Keibert,660688,120,433,1538,-12,-14,-15,10,8
2022,Hernandez, Yadiel,628450,120,327,1303,-1,-5,-8,8,3